dataset,n_aggregators,n_signals,best_agg,best_single,biased_margin_pct,honest_margin_pct,shrinkage_pct,selection_stability,prereg_margin_pct,test_errors
german_credit,9,12,A0_rank,signal_energy,-6.171211723494006,-5.014211617129614,-1.157000106364392,0.87,0.845393569988546,34.0
satimage,9,12,A1_logreg,signal_entropy,-6.384187407536793,-6.346233012729094,-0.0379543948076988,0.845,-6.384187407536793,67.0
letter,9,12,A1_logreg,signal_entropy,-6.288077461736464,-6.562760463298481,0.27468300156201775,1.0,-6.288077461736463,82.0
wine_quality_white,9,12,A1_logreg,signal_trust_score,-1.290652628437492,-1.2367800748848072,-0.053872553552684714,1.0,-1.290652628437492,236.0
adult,9,12,A1_logreg,signal_energy,0.8836848804817082,0.8778844263123651,0.005800454169343182,1.0,0.8836848804817082,944.0
electricity,9,12,A2_adaptive_loss3,signal_energy,0.3689382837959066,0.37837355333023903,-0.009435269534332439,0.995,2.6017544429085513,2533.0
