dataset_id,name,K,n_rows,n_test,test_errors,base_acc,rho_local,argmin_signal,eff_rank,eff_binarity,msp_aurc,n_tier_a,verdict
1478,har,6,10299,1545,9,0.9941747572815534,0.7765428120266831,energy,1.402982988339931,0.9993290259709856,7.010866712722622e-05,6,reject: only 9 test errors
1497,wall_robot_navigation,4,5456,818,3,0.9963325183374083,0.7390973106518215,energy,1.5231614095581343,0.9999309493960001,2.1026061114323077e-05,6,reject: only 3 test errors
1466,cardiotocography,10,2126,318,0,1.0,0.7059578368469295,margin_logit,1.8163349074574169,0.9999781155689988,0.0,6,reject: only 0 test errors
12,mfeat_factors,10,2000,300,5,0.9833333333333333,0.6084538375973303,energy,1.6456110560803525,0.9591743032526667,0.0004526965388244213,6,reject: only 5 test errors
1476,gas_drift,6,13910,2087,16,0.9923334930522281,0.595883064304117,logitnorm_msp,1.738364807425638,0.9987044951739543,0.0003771192203910153,6,reject: only 16 test errors
375,japanese_vowels,9,9961,1494,34,0.9772423025435074,0.5946130939152852,energy,1.628810120065987,0.9895528012004134,0.0009251013156073434,6,reject: only 34 test errors
54,vehicle,4,846,126,26,0.7936507936507937,0.49632925472747497,energy,1.8074380317343126,0.9866208230690893,0.0689789556868796,6,reject: only 26 test errors
23,cmc,3,1473,221,114,0.48416289592760176,0.4583889630618603,margin_logit,2.087800522207752,0.8622111753765337,0.35888393676134134,6,"usable, but locally non-redundant (adds a data point, not a decoupling)"
40691,wine_quality_red,6,1599,240,83,0.6541666666666667,0.439377085650723,energy,2.1759427680576304,0.9770604762581913,0.2882569549524232,6,"usable, but locally non-redundant (adds a data point, not a decoupling)"
469,analcatdata_dmft,6,797,119,96,0.19327731092436973,0.41241379310344817,margin_prob,2.209693014212318,0.5730374026074128,0.8168461091724557,6,"usable, but locally non-redundant (adds a data point, not a decoupling)"
1475,first_order_theorem_proving,6,6118,917,352,0.6161395856052345,0.34412206681308516,margin_logit,2.6081114041753866,0.7694549492547682,0.2018518907577537,6,"usable, but locally non-redundant (adds a data point, not a decoupling)"
26,nursery,5,12960,1944,1,0.9994855967078189,0.3229523054265322,energy,1.9427275953534244,0.999996222169287,0.00011250913885718,6,reject: only 1 test errors
60,waveform_5000,3,5000,750,122,0.8373333333333334,0.31931721194879087,energy,1.7386034269604593,0.9984503166369559,0.050250139485912476,6,"usable, but locally non-redundant (adds a data point, not a decoupling)"
40670,dna,3,3186,477,20,0.9580712788259959,0.30644811115935733,energy,2.068209710815949,0.9909063824615082,0.003143570498876401,6,reject: only 20 test errors
307,vowel,11,990,149,15,0.8993288590604027,0.12703003337041155,energy,2.1238699698973056,0.9562546758279462,0.022359742182006533,6,reject: only 15 test errors
188,eucalyptus,5,736,110,38,0.6545454545454545,0.08520578420467186,energy,2.4228823790007663,0.9766930765344269,0.15894337972397612,6,reject: only 38 test errors
