dataset,n_test,n_errors,aurc,rel_se,inv_sqrt_errors,rel_se_x_sqrt_errors
german_credit,150.0,34.3,0.13297841106387734,0.25746952469822904,0.17074694419062766,1.507901215560153
satimage,965.0,67.1,0.009976161851929592,0.19960967187357487,0.12207837505974602,1.6350944364707056
letter,3000.0,82.5,0.0013075182937332523,0.17469238571789641,0.11009637651263607,1.586722390430774
wine_quality_white,734.0,236.3,0.18459153291208555,0.09249804623047778,0.06505312129924619,1.421884828630807
adult,7327.0,944.3,0.03016342399794118,0.05009616982603704,0.032542057278217074,1.5394284816642583
electricity,6797.0,2533.3,0.194593552880341,0.02688574176943321,0.019868116067695552,1.353210424069745
