dataset,rho_local,rho_global,n_errors,gain_pct,gain_sd,seeds
adult,0.9999999763858753,0.9999999997628063,944.3,0.8551709655847265,1.2280190134842135,10
electricity,0.9999999961835861,0.9999999996446041,2533.3,2.5932952816674355,0.7534347127249557,10
german_credit,1.0,0.9999999111071208,34.3,2.9446327391320684,4.9952920244122065,10
letter,0.463059278436427,0.8560350249344916,82.5,-5.805804572450636,5.700122128049137,10
satimage,0.3336734693877551,0.8911689317034408,67.1,-4.32585341272892,3.30572383068584,10
wine_quality_white,0.2268612306971615,0.6666364024319347,236.3,-1.2475502858752139,2.6587306290897517,10
