dataset,seeds,rho_local,rho_local_min,rho_local_max,rho_global,eff_rank_local
adult,10,0.9999999762889636,0.9999999311615071,0.9999999923512785,0.9999999997628063,4.943700620045776
electricity,10,0.9999999961666992,0.9999999904167473,1.0,0.9999999996446041,4.778163246284484
german_credit,10,1.0,1.0,1.0,0.9999999111071208,4.6237663688750725
letter,10,0.463059278436427,0.3884932054800609,0.5280178668651874,0.8560350249344916,5.504840342977939
satimage,10,0.3347300596852957,0.24981009224091155,0.43952794357026587,0.8911689317034408,5.8116155502707
wine_quality_white,10,0.2454288606796567,0.15023988399179306,0.39292215605812836,0.6675910895397894,7.373855058533361
